location,Basel,Basel,Basel,Basel
lat,47.54694,47.54694,47.54694,47.54694
lon,7.56892,7.56892,7.56892,7.56892
asl,283.697,283.697,283.697,283.697
variable,Temperature,Relative Humidity,Wind Speed,Wind Direction
unit,°F,%,km/h,°
level,2 m elevation corrected,2 m,10 m,10 m
resolution,hourly,hourly,hourly,hourly
aggregation,None,None,None,None
timestamp,Basel Temperature [2 m elevation corrected],Basel Relative Humidity [2 m],Basel Wind Speed [10 m],Basel Wind Direction [10 m]
20210614T0000,59.486954,71.0,5.6920996,108.434944
20210614T0100,57.07495,73.0,3.563818,135.0
20210614T0200,55.56295,72.0,3.396233,147.99461
20210614T0300,54.03295,75.0,2.5959969,146.30994
20210614T0400,52.66495,77.0,3.7064266,150.94539
20210614T0500,51.47695,77.0,5.00128,149.74356
20210614T0600,53.67295,73.0,1.8,126.869896
20210614T0700,57.614952,67.0,2.9024127,97.125015
20210614T0800,63.12295,61.0,7.2359104,84.289406
20210614T0900,69.06295,51.0,10.464798,86.05482
20210614T1000,72.89696,42.0,10.853866,84.289406
20210614T1100,75.84895,36.0,8.557102,67.75098
20210614T1200,77.75695,36.0,7.5685663,25.34616
20210614T1300,78.02695,50.0,8.311245,355.03027
20210614T1400,79.35895,50.0,8.825508,348.23172
20210614T1500,81.068954,47.0,9.028754,355.4261
20210614T1600,82.00495,46.0,10.538843,352.1467
20210614T1700,81.98695,46.0,9.826088,351.57306
20210614T1800,81.428955,47.0,9.3876505,355.60132
20210614T1900,80.25896,49.0,6.9899354,348.11133
20210614T2000,78.00896,55.0,7.42159,345.96375
20210614T2100,74.76895,64.0,4.896529,342.89728
20210614T2200,71.510956,70.0,1.2979984,303.69006
20210614T2300,69.24295,71.0,0.5091169,225.0
20210615T0000,67.29895,72.0,1.8,233.1301
20210615T0100,65.28295,75.0,1.8,233.1301
20210615T0200,63.71695,79.0,1.4399999,180.0
20210615T0300,63.30295,82.0,3.0758414,159.44395
20210615T0400,62.79895,86.0,4.3349743,138.36646
20210615T0500,61.988953,88.0,4.3349743,138.36646
20210615T0600,62.690952,86.0,4.510787,118.61046
20210615T0700,66.16495,77.0,7.342588,101.30993
20210615T0800,70.61095,64.0,9.0,89.99999
20210615T0900,74.87695,55.0,7.5942082,58.570435
20210615T1000,77.846954,50.0,7.6367526,8.130096
20210615T1100,79.64696,48.0,9.114471,350.90973
20210615T1200,81.26695,45.0,8.905908,345.96375
20210615T1300,83.624954,41.0,10.483357,344.0546
20210615T1400,84.902954,35.0,11.620809,343.8108
20210615T1500,85.42495,33.0,11.384199,341.56506
20210615T1600,85.38895,34.0,11.620809,343.8108
20210615T1700,85.010956,35.0,12.224107,346.37302
20210615T1800,84.14696,36.0,11.090103,346.86597
20210615T1900,82.86895,37.0,8.427383,340.0169
20210615T2000,80.708954,42.0,7.10031,329.53445
20210615T2100,78.38695,48.0,4.1046314,307.875
20210615T2200,75.63295,54.0,3.6,270.0
20210615T2300,73.38295,58.0,4.3349743,228.36647
20210616T0000,71.61895,60.0,3.563818,225.0
20210616T0100,70.16095,62.0,3.319036,220.6013
20210616T0200,68.88295,62.0,3.671294,191.30994
20210616T0300,67.89295,61.0,4.3349743,175.23636
20210616T0400,67.17295,60.0,5.3517847,160.34618
20210616T0500,66.38095,62.0,5.1919937,146.30994
20210616T0600,66.81295,63.0,4.198285,120.96376
20210616T0700,69.38695,64.0,6.763786,115.20112
20210616T0800,73.63495,60.0,8.311245,107.650116
20210616T0900,78.458954,51.0,9.9571085,102.52881
20210616T1000,81.71695,46.0,11.620809,106.1892
20210616T1100,83.76895,40.0,7.8625183,105.9454
20210616T1200,85.208954,37.0,6.28713,103.24051
20210616T1300,87.74695,32.0,3.319036,77.47118
20210616T1400,88.50295,31.0,2.968636,75.96376
20210616T1500,88.862946,31.0,2.6208394,105.9454
20210616T1600,88.70095,32.0,1.8,53.130096
20210616T1700,88.35895,33.0,2.5959969,56.30993
20210616T1800,87.62096,34.0,3.9763298,84.805565
20210616T1900,86.52295,35.0,3.9763298,84.805565
20210616T2000,84.63295,39.0,6.162207,83.29016
20210616T2100,80.92495,54.0,8.759178,99.46232
20210616T2200,75.902954,69.0,10.296251,126.46923
20210616T2300,72.30295,67.0,9.726664,141.009
20210617T0000,70.250946,70.0,7.8954163,136.84761
20210617T0100,71.07895,59.0,6.8777895,137.1211
20210617T0200,71.52895,54.0,7.289445,122.90524
20210617T0300,70.93495,53.0,6.297428,120.963745
20210617T0400,69.11695,55.0,1.609969,206.56505
20210617T0500,69.27895,56.0,4.8433046,131.98721
20210617T0600,70.57495,55.0,5.4833565,113.19859
20210617T0700,73.29295,53.0,6.725354,105.5241
20210617T0800,77.52295,49.0,6.2145634,100.00798
20210617T0900,81.08695,46.0,9.3876505,94.398705
