ASPM : Airport Analysis : All Flights Report,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
From 5/1/2019 To 9/30/2019 ; Airport=IAD ; Hour>=0 ; Hour<=23 : Use Schedule,,,,,,,,,,,,,,,,,
Date,Hour,Scheduled,Scheduled,Departures,Arrivals,% On-Time,% On-Time,% On-Time,Average,Average,Average,Average,Average,Average,Average,Average,
,,Departures,Arrivals,For Metric,For Metric,Gate,Airport,Gate,Gate,Taxi,Taxi,Airport,Airborne,Taxi,Block,Gate,
,,,,Computation,Computation,Departures,Departures,Arrivals,Departure,Out,Out,Departure,Delay,In,Delay,Arrival,
,,,,,,,,,Delay,Time,Delay,Delay,,Delay,,Delay,
5/1/2019,0,0,7,0,8,0,0,62.5,0,0,0,0,0,0.45,0.13,15.88,
5/1/2019,1,1,0,2,1,100,100,0,0,12.5,0.25,0.5,11,0,15,66,
5/1/2019,2,0,1,1,1,100,100,100,0,19,6.5,7,0,0,0,0,
5/1/2019,3,0,0,0,1,0,0,100,0,0,0,0,0,0,0,0,
5/1/2019,4,1,0,1,2,100,100,0,0,14,1.5,0,1,0,4,55.5,
5/1/2019,5,2,4,2,7,100,50,85.71,0,22.5,11.6,10.5,0,0.14,0.29,5.86,
5/1/2019,6,11,5,11,9,100,90.91,66.67,0,15.27,3.44,2.36,21.44,0.44,4.33,11.89,
5/1/2019,7,5,36,10,36,100,90,91.67,0,14.7,2.6,2.1,5.61,0.5,1.69,4.22,
5/1/2019,8,55,2,57,2,91.23,85.96,50,4.58,19.25,7.08,8.39,2,1.25,0,25.5,
5/1/2019,9,8,4,19,5,68.42,63.16,60,8.37,14.58,2.7,10.21,0.8,0.3,5,13.8,
5/1/2019,10,4,5,8,9,50,50,88.89,23.25,15.25,3.38,25.63,1.44,0.12,2.33,3.44,
5/1/2019,11,6,55,8,59,75,62.5,83.05,51.25,20.38,8.84,59.63,6.31,0.78,2.86,6.61,
5/1/2019,12,56,4,64,6,84.38,75,66.67,9.11,18.72,6.46,13.47,3,2,2.5,12.33,
5/1/2019,13,10,5,12,12,91.67,91.67,66.67,12.58,17.17,4.75,13.92,1.67,0.46,1.92,16.5,
5/1/2019,14,3,14,9,20,66.67,66.67,60,17,15,2.66,19.89,2.95,0.08,4,22.2,
5/1/2019,15,6,38,14,38,42.86,42.86,86.84,28.86,14.71,2.46,31.07,4.03,0.99,2.92,4.76,
5/1/2019,16,9,57,14,65,78.57,71.43,80,16.07,17.43,5.26,21.07,7.51,0.31,5.38,14.6,
5/1/2019,17,85,5,85,12,88.24,69.41,66.67,9.08,21.24,8.9,15.27,3.08,0.33,3.17,12,
5/1/2019,18,11,11,16,17,81.25,75,70.59,13.88,20.19,7.63,19.19,2.18,0.68,2.24,14.65,
5/1/2019,19,12,10,13,15,76.92,69.23,66.67,10.92,20.54,8.92,18.31,3.47,1.17,1.93,18.8,
5/1/2019,20,3,23,2,26,100,100,69.23,0,24,10.95,7.5,2.77,0.33,1.96,34,
5/1/2019,21,2,35,6,38,66.67,66.67,84.21,11.83,18.83,6.3,17.5,4.24,1.09,2.05,13.82,
5/1/2019,22,42,4,44,4,88.64,81.82,100,10.82,21.05,8.95,16.16,0,0.5,2,0,
5/1/2019,23,1,7,4,10,100,100,90,0,12,0,0,1.5,0.61,1.8,3.4,
5/2/2019,0,0,7,0,6,0,0,83.33,0,0,0,0,0.5,0.67,0,133.67,
5/2/2019,1,0,0,1,0,100,100,0,0,12,0,0,0,0,0,0,
5/2/2019,2,1,1,2,3,100,100,66.67,1.5,15.5,3.25,5,0.33,0,2.33,23,
5/2/2019,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
5/2/2019,4,1,0,1,1,100,100,0,0,15,2.5,0,0,0,0,27,
5/2/2019,5,2,5,3,10,66.67,66.67,80,8.33,14.33,3.07,11.67,0.6,0.4,1.2,13.6,
5/2/2019,6,11,5,12,6,83.33,75,66.67,5,18.17,5.87,9.42,30.67,0.25,4.17,16.5,
5/2/2019,7,5,36,13,37,46.15,53.85,83.78,11.46,15.31,3.45,14.31,9.11,0.88,4.57,11.08,
5/2/2019,8,57,2,62,5,80.65,66.13,100,12.65,21.29,8.89,19.1,1.6,1.5,2.2,4.4,
5/2/2019,9,8,4,17,7,70.59,70.59,42.86,16.24,16.47,3.81,18.94,3.43,0,3,33.29,
5/2/2019,10,4,5,9,8,66.67,66.67,87.5,13.11,15.33,3.06,16.44,3,0.01,2.13,4.88,
5/2/2019,11,5,57,9,61,77.78,66.67,86.89,72.56,18.44,6.36,77.89,3.48,0.51,3.03,5.64,
