ASPM : Airport Efficiency : Standard Report,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
From 5/1/2019 To 9/30/2019 ; Airport=IAD ; Local Hour>=00 ; Local Hour<=23 (System Perspective),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date,Local,Departures,Arrivals,Total,Facility,Facility,Total,Departure,Arrival,Total,Efficiency,ADR,Capacity,ADR Plus,Average,% Capacity,Departure,Arrival,SAER,,,,,,,,,,,,,,,,,,,,
,Hour,For,For,For,Reported,Reported,Facility,Demand,Demand,Demand,AAR,,AAR,Capacity,Capacity,Utilized,Efficiency,Efficiency,,,,,,,,,,,,,,,,,,,,,
,,Efficiency,Efficiency,Efficiency,Departures,Arrivals,Reported,Units,Units,Units,,,,AAR,,,,,,,,,,,,,,,,,,,,,,,,,
,,Computation,Computation,Computation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/1/2019,0,1,6,7,0,0,0,1,6,7,96,47,96,143,143,4.9,100,100,100,,,,,,,,,,,,,,,,,,,,
5/1/2019,1,4,3,7,0,0,0,4,3,7,96,47,96,143,143,4.9,100,100,100,,,,,,,,,,,,,,,,,,,,
5/1/2019,2,1,3,4,0,0,0,1,3,4,96,47,96,143,143,2.8,100,100,100,,,,,,,,,,,,,,,,,,,,
5/1/2019,3,0,0,0,0,0,0,0,0,0,96,47,96,143,143,0,100,100,100,,,,,,,,,,,,,,,,,,,,
5/1/2019,4,1,2,3,0,0,0,1,2,3,96,47,96,143,143,2.1,100,100,100,,,,,,,,,,,,,,,,,,,,
5/1/2019,5,2,9,11,0,0,0,3,9,12,89,48,89,137,137,8.03,66.67,100,91.67,,,,,,,,,,,,,,,,,,,,
5/1/2019,6,11,13,24,0,0,0,12,14,26,68,48,68,116,116,20.69,91.67,92.86,92.31,,,,,,,,,,,,,,,,,,,,
5/1/2019,7,12,32,44,0,0,0,13,36,49,68,48,68,116,116,37.93,92.31,96.73,95.56,,,,,,,,,,,,,,,,,,,,
5/1/2019,8,55,8,63,0,0,0,63,8,71,68,48,68,116,116,54.31,100,100,100,,,,,,,,,,,,,,,,,,,,
5/1/2019,9,26,10,36,0,0,0,27,10,37,68,48,68,116,116,31.03,96.3,100,97.3,,,,,,,,,,,,,,,,,,,,
5/1/2019,10,16,24,40,0,0,0,17,24,41,68,48,68,116,116,34.48,94.12,100,97.56,,,,,,,,,,,,,,,,,,,,
5/1/2019,11,14,54,68,0,0,0,17,60,77,64,48,64,112,112,60.71,82.35,94.79,92.05,,,,,,,,,,,,,,,,,,,,
5/1/2019,12,48,13,61,0,0,0,54,13,67,64,48,64,112,112,54.46,100,100,100,,,,,,,,,,,,,,,,,,,,
5/1/2019,13,43,17,60,0,0,0,46,17,63,64,48,64,112,112,53.57,100,100,100,,,,,,,,,,,,,,,,,,,,
5/1/2019,14,11,31,42,0,0,0,11,32,43,64,48,64,112,112,37.5,100,96.88,97.67,,,,,,,,,,,,,,,,,,,,
5/1/2019,15,19,54,73,0,0,0,19,58,77,66,58,66,124,124,58.87,100,93.1,94.81,,,,,,,,,,,,,,,,,,,,
5/1/2019,16,24,53,77,0,0,0,24,62,86,68,68,68,136,136,56.62,100,100,100,,,,,,,,,,,,,,,,,,,,
5/1/2019,17,69,15,84,0,0,0,86,15,101,68,68,68,136,136,61.76,100,100,100,,,,,,,,,,,,,,,,,,,,
5/1/2019,18,45,20,65,0,0,0,52,20,72,68,68,68,136,136,47.79,94.23,100,95.83,,,,,,,,,,,,,,,,,,,,
5/1/2019,19,18,17,35,0,0,0,20,17,37,68,68,68,136,136,25.74,90,100,94.59,,,,,,,,,,,,,,,,,,,,
5/1/2019,20,7,33,40,0,0,0,11,33,44,68,68,68,136,136,29.41,63.64,100,90.91,,,,,,,,,,,,,,,,,,,,
5/1/2019,21,11,28,39,0,0,0,12,29,41,68,68,68,136,136,28.68,91.67,96.55,95.12,,,,,,,,,,,,,,,,,,,,
5/1/2019,22,44,7,51,0,0,0,49,7,56,68,68,68,136,136,37.5,89.8,100,91.07,,,,,,,,,,,,,,,,,,,,
5/1/2019,23,7,14,21,0,0,0,7,14,21,68,68,68,136,136,15.44,100,100,100,,,,,,,,,,,,,,,,,,,,
5/2/2019,0,1,5,6,0,0,0,1,5,6,68,68,68,136,136,4.41,100,100,100,,,,,,,,,,,,,,,,,,,,
5/2/2019,1,2,2,4,0,0,0,2,2,4,68,68,68,136,136,2.94,100,100,100,,,,,,,,,,,,,,,,,,,,
5/2/2019,2,1,2,3,0,0,0,1,2,3,68,68,68,136,136,2.21,100,100,100,,,,,,,,,,,,,,,,,,,,
5/2/2019,3,1,1,2,0,0,0,1,1,2,68,68,68,136,136,1.47,100,100,100,,,,,,,,,,,,,,,,,,,,
5/2/2019,4,1,3,4,0,0,0,1,3,4,68,68,68,136,136,2.94,100,100,100,,,,,,,,,,,,,,,,,,,,
5/2/2019,5,2,6,8,0,0,0,2,6,8,67,63,67,130,130,6.15,100,100,100,,,,,,,,,,,,,,,,,,,,
5/2/2019,6,12,13,25,0,0,0,13,16,29,62,47,62,109,109,22.94,92.31,81.25,86.21,,,,,,,,,,,,,,,,,,,,
5/2/2019,7,13,31,44,0,0,0,14,37,51,62,47,62,109,109,40.37,92.86,83.78,86.27,,,,,,,,,,,,,,,,,,,,
5/2/2019,8,52,12,64,0,0,0,64,13,77,62,47,62,109,109,58.72,93.75,92.31,93.51,,,,,,,,,,,,,,,,,,,,
5/2/2019,9,30,10,40,0,0,0,33,11,44,62,47,62,109,109,36.7,96.97,90.91,95.45,,,,,,,,,,,,,,,,,,,,
5/2/2019,10,12,19,31,0,0,0,12,20,32,62,47,62,109,109,28.44,100,95,96.88,,,,,,,,,,,,,,,,,,,,
5/2/2019,11,20,56,76,0,0,0,21,59,80,92,47,92,139,139,54.68,95.24,94.92,95,,,,,,,,,,,,,,,,,,,,
5/2/2019,12,31,19,50,0,0,0,40,20,60,92,47,92,139,139,35.97,97.5,95,96.67,,,,,,,,,,,,,,,,,,,,
5/2/2019,13,44,21,65,0,0,0,56,21,77,92,47,92,139,139,46.76,90.62,100,93.18,,,,,,,,,,,,,,,,,,,,
5/2/2019,14,20,26,46,0,0,0,24,27,51,92,63,92,155,155,29.68,83.33,96.3,90.2,,,,,,,,,,,,,,,,,,,,
5/2/2019,15,5,4,9,0,0,0,18,49,67,92,68,92,160,160,5.63,27.78,8.16,13.43,,,,,,,,,,,,,,,,,,,,
5/2/2019,16,18,36,54,0,0,0,31,132,163,92,68,92,160,160,33.75,58.06,40.22,43.61,,,,,,,,,,,,,,,,,,,,
5/2/2019,17,17,28,45,0,0,0,45,125,170,92,68,92,160,160,28.13,37.78,30.54,32.46,,,,,,,,,,,,,,,,,,,,
5/2/2019,18,37,54,91,0,0,0,100,113,213,92,68,92,160,160,56.88,55.29,61.87,58.78,,,,,,,,,,,,,,,,,,,,
5/2/2019,19,60,32,92,0,0,0,118,40,158,92,68,92,160,160,57.5,83.85,80,82.87,,,,,,,,,,,,,,,,,,,,
5/2/2019,20,40,20,60,0,0,0,50,20,70,92,68,92,160,160,37.5,84.94,100,89.24,,,,,,,,,,,,,,,,,,,,
5/2/2019,21,13,23,36,0,0,0,13,26,39,92,68,92,160,160,22.5,100,88.46,92.31,,,,,,,,,,,,,,,,,,,,
5/2/2019,22,29,23,52,0,0,0,33,23,56,92,68,92,160,160,32.5,87.88,100,92.86,,,,,,,,,,,,,,,,,,,,
5/2/2019,23,18,18,36,0,0,0,19,18,37,92,68,92,160,160,22.5,94.74,100,97.3,,,,,,,,,,,,,,,,,,,,
5/3/2019,0,9,8,17,0,0,0,9,8,17,92,68,92,160,160,10.63,100,100,100,,,,,,,,,,,,,,,,,,,,
5/3/2019,1,2,5,7,0,0,0,2,5,7,92,68,92,160,160,4.38,100,100,100,,,,,,,,,,,,,,,,,,,,
5/3/2019,2,3,1,4,0,0,0,3,1,4,92,68,92,160,160,2.5,100,100,100,,,,,,,,,,,,,,,,,,,,
5/3/2019,3,1,0,1,0,0,0,1,0,1,92,68,92,160,160,0.63,100,100,100,,,,,,,,,,,,,,,,,,,,
5/3/2019,4,1,4,5,0,0,0,1,4,5,92,68,92,160,160,3.13,100,100,100,,,,,,,,,,,,,,,,,,,,
5/3/2019,5,3,4,7,0,0,0,3,4,7,85,63,85,148,148,4.73,100,100,100,,,,,,,,,,,,,,,,,,,,
5/3/2019,6,11,12,23,0,0,0,13,12,25,62,45,62,107,107,21.5,84.62,100,92,,,,,,,,,,,,,,,,,,,,
5/3/2019,7,14,32,46,0,0,0,16,37,53,62,45,62,107,107,42.99,87.5,89.02,88.56,,,,,,,,,,,,,,,,,,,,
5/3/2019,8,62,16,78,0,0,0,65,16,81,62,45,62,107,107,72.9,98.46,100,98.77,,,,,,,,,,,,,,,,,,,,
5/3/2019,9,26,13,39,0,0,0,28,13,41,62,45,62,107,107,36.45,92.86,100,95.12,,,,,,,,,,,,,,,,,,,,
5/3/2019,10,16,16,32,0,0,0,16,16,32,63,45,63,108,108,29.63,100,100,100,,,,,,,,,,,,,,,,,,,,
5/3/2019,11,13,53,66,0,0,0,14,55,69,64,45,64,109,109,60.55,92.86,98.18,97.1,,,,,,,,,,,,,,,,,,,,
5/3/2019,12,33,15,48,0,0,0,42,16,58,64,45,64,109,109,44.04,100,93.75,98.28,,,,,,,,,,,,,,,,,,,,
5/3/2019,13,52,14,66,0,0,0,72,14,86,64,45,64,109,109,60.55,98.61,100,98.84,,,,,,,,,,,,,,,,,,,,
5/3/2019,14,17,27,44,0,0,0,22,28,50,64,45,64,109,109,40.37,77.27,96.43,88,,,,,,,,,,,,,,,,,,,,
5/3/2019,15,12,41,53,0,0,0,15,46,61,68,47,68,115,115,46.09,80,89.13,86.89,,,,,,,,,,,,,,,,,,,,
5/3/2019,16,20,52,72,0,0,0,25,69,94,72,48,72,120,120,60,80,85.35,83.92,,,,,,,,,,,,,,,,,,,,
5/3/2019,17,38,21,59,0,0,0,82,31,113,72,48,72,120,120,49.17,86.48,67.74,81.34,,,,,,,,,,,,,,,,,,,,
5/3/2019,18,55,13,68,0,0,0,112,13,125,72,48,72,120,120,56.67,95.39,100,95.87,,,,,,,,,,,,,,,,,,,,
5/3/2019,19,15,15,30,0,0,0,32,16,48,72,48,72,120,120,25,46.88,93.75,62.5,,,,,,,,,,,,,,,,,,,,
5/3/2019,20,8,28,36,0,0,0,23,35,58,72,48,72,120,120,30,34.78,80,62.07,,,,,,,,,,,,,,,,,,,,
5/3/2019,21,7,22,29,0,0,0,9,37,46,72,48,72,120,120,24.17,77.78,59.46,63.04,,,,,,,,,,,,,,,,,,,,
5/3/2019,22,16,10,26,0,0,0,19,18,37,72,48,72,120,120,21.67,94.74,55.56,75.68,,,,,,,,,,,,,,,,,,,,
5/3/2019,23,38,13,51,0,0,0,51,14,65,72,48,72,120,120,42.5,88.24,92.86,89.23,,,,,,,,,,,,,,,,,,,,
5/4/2019,0,7,8,15,0,0,0,7,9,16,72,48,72,120,120,12.5,100,88.89,93.75,,,,,,,,,,,,,,,,,,,,
5/4/2019,1,1,2,3,0,0,0,1,2,3,72,48,72,120,120,2.5,100,100,100,,,,,,,,,,,,,,,,,,,,
5/4/2019,2,1,1,2,0,0,0,1,1,2,72,48,72,120,120,1.67,100,100,100,,,,,,,,,,,,,,,,,,,,
5/4/2019,3,0,0,0,0,0,0,0,0,0,72,48,72,120,120,0,100,100,100,,,,,,,,,,,,,,,,,,,,
5/4/2019,4,1,3,4,0,0,0,1,3,4,72,48,72,120,120,3.33,100,100,100,,,,,,,,,,,,,,,,,,,,
5/4/2019,5,1,4,5,0,0,0,1,4,5,72,48,72,120,120,4.17,100,100,100,,,,,,,,,,,,,,,,,,,,
5/4/2019,6,8,11,19,0,0,0,9,11,20,65,59,65,124,124,15.32,88.89,100,95,,,,,,,,,,,,,,,,,,,,
5/4/2019,7,7,30,37,0,0,0,8,31,39,62,62,62,124,124,29.84,87.5,96.77,94.87,,,,,,,,,,,,,,,,,,,,
5/4/2019,8,54,5,59,0,0,0,61,5,66,62,62,62,124,124,47.58,96.72,100,96.97,,,,,,,,,,,,,,,,,,,,
